CPU,Cores,CPU BenchMark,Single-Thread BenchMark,TDP (W),Socket,Category
AArch64,4,833,368,NA,Unknown,Mobile/Embedded
AArch64 rev 2 (aarch64),8,2391,903,NA,Unknown,Mobile/Embedded
AArch64 rev 4 (aarch64),8,1813,588,NA,Unknown,Mobile/Embedded
AC8257V/WAB,8,788,485,NA,Unknown,Unknown
AC8259V/WAB,8,910,508,NA,Unknown,Mobile/Embedded
Allwinner A133,4,673,411,NA,Unknown,Mobile/Embedded
Allwinner A523,8,1878,583,NA,Unknown,Mobile/Embedded
Allwinner A527,8,2297,678,NA,Unknown,Mobile/Embedded
Allwinner H618,4,623,396,NA,Unknown,Mobile/Embedded
Allwinner h728,8,1940,623,NA,Unknown,Mobile/Embedded
AMD 3015Ce,2,2099,1337,6,FT5,Mobile/Embedded
AMD 3015e,2,2712,1339,6,Unknown,Laptop
AMD 3020e,2,2439,1407,6,Unknown,Laptop
AMD 4700S,8,17850,2360,NA,Unknown,Desktop
AMD A10 Micro-6700T APU,4,1426,722,5,FT3b,Laptop
AMD A10 PRO-7350B APU,4,1915,917,19,FP3,Laptop
AMD A10 PRO-7800B APU,2,3318,1495,65,FM2+,Desktop
AMD A10 PRO-7850B APU,2,3459,1573,95,FM2+,Desktop
AMD A10-4600M APU,2,1938,1080,35,FS1r2,Laptop
AMD A10-4655M APU,2,1658,909,25,FP2,Laptop
AMD A10-4657M APU,4,1759,940,35,FP2,Laptop
AMD A10-5700 APU,2,2741,1430,65,FM2,Desktop
AMD A10-5745M APU,4,1779,949,25,FP2,Laptop
AMD A10-5750M APU,4,2050,1164,35,FS1r2,Laptop
AMD A10-5757M APU,4,1998,1151,35,FP2,Laptop
AMD A10-5800B APU,2,3034,1579,100,FM2,Desktop
AMD A10-5800K APU,2,2961,1495,100,FM2,Desktop
AMD A10-6700 APU,4,3104,1604,65,FM2,Desktop
AMD A10-6700T APU,2,2299,1290,45,FM2,Desktop
AMD A10-6790K APU,2,3071,1551,100,FM2,Desktop
AMD A10-6800B APU,2,3106,1654,100,FM2,Desktop
AMD A10-6800K APU,2,3193,1597,100,FM2,Desktop
AMD A10-7300 APU,4,1742,863,19,FP3,Laptop
AMD A10-7400P,4,2100,1040,35,FP3,Laptop
AMD A10-7700K APU,2,3203,1435,95,FM2+,Desktop
AMD A10-7800 APU,2,3206,1462,65,FM2+,Desktop
AMD A10-7850K APU,2,3396,1498,95,FM2+,Desktop
AMD A10-7860K,2,3282,1488,65,FM2+,Desktop
AMD A10-7870K,2,3458,1512,95,FM2+,Desktop
AMD A10-7890K,2,3533,1576,95,FM2+,Desktop
AMD A10-8700P,2,2245,1146,35,FP4,Laptop
AMD A10-8750,2,3228,1516,65,FM2+,Desktop
AMD A10-8850,2,3438,1608,NA,Unknown,Desktop
AMD A10-9600P,4,2338,1147,15,FP4,Laptop
AMD A10-9620P,4,2535,1266,15,Unknown,Laptop
AMD A10-9630P,4,2909,1397,35,FP4,Laptop
AMD A10-9700,4,3546,1615,65,AM4,Desktop
AMD A10-9700E,4,3229,1501,35,AM4,Desktop
AMD A12-9700P,4,2428,1208,15,FP4,Laptop
AMD A12-9720P,4,2663,1318,15,FP4,Laptop
AMD A12-9730P,4,2980,1386,35,FP4,Laptop
AMD A12-9800,2,3611,1674,65,AM4,Desktop
AMD A12-9800E,4,3471,1617,35,AM4,Desktop
AMD A4 Micro-6400T APU,4,1082,540,4.5,FT3b,Laptop
AMD A4 PRO-3340B,4,1645,676,25,BGA769 (FT3),Laptop
AMD A4 PRO-7300B APU,1,1458,1445,65,Unknown,Desktop
AMD A4 PRO-7350B,1,1544,1438,65,FM2+,Desktop
AMD A4-1200 APU,2,369,303,3.9,FT3,Laptop
AMD A4-1250 APU,2,406,329,8,FT3,Laptop
AMD A4-1350 APU,4,911,345,8,FT3,Laptop
AMD A4-3300 APU,2,942,973,65,FM1,Desktop
AMD A4-3300M APU,2,714,790,65,FM1,Laptop
AMD A4-3305M APU,2,751,830,35,FS1,Laptop
AMD A4-3310MX APU,2,782,832,45,FS1,Laptop
AMD A4-3320M APU,2,668,708,35,FS1,Laptop
AMD A4-3330MX APU,2,756,908,45,FS1 uPGA,Laptop
AMD A4-3400 APU,2,1086,1082,65,FM1,Desktop
AMD A4-3420 APU,2,1054,1113,65,FM1,Desktop
AMD A4-4000 APU,1,1145,1134,65,FM2,Desktop
AMD A4-4020 APU,2,1268,1220,65,FM2,Desktop
AMD A4-4300M APU,1,1000,1014,35,FS1,Laptop
AMD A4-4355M APU,2,806,813,17,FP2,Laptop
AMD A4-5000 APU,4,1297,508,15,FT3,Laptop
AMD A4-5050 APU,4,1328,538,13.5,FT3,Laptop
AMD A4-5100 APU,4,1346,540,15,FT3,Laptop
AMD A4-5150M APU,2,765,800,35,FS1r2,Laptop
AMD A4-5300 APU,2,1357,1329,65,FM2,Desktop
AMD A4-5300B APU,2,1243,1233,65,FM2,Desktop
AMD A4-6210 APU,4,1503,610,15,FT3b,Laptop
AMD A4-6250J APU,4,1671,695,25,Unknown,"Laptop, Mobile/Embedded"
